,word,count
1163,#juntoscontraovirus,193
1164,aqui:,193
1165,buteco,192
1166,ficarem,192
1167,bastante,192
1168,coloca,192
1169,acompanhe,192
1170,crianca,192
1171,acesse:,192
1172,nivel,191
1173,#gusttavolima,191
1174,acredito,191
1175,chorar,191
1176,enfrentar,191
1177,bate,191
1178,superar,191
1179,clientes,191
1180,desejo,191
1181,problemas,191
1182,razao,190
1183,by,190
1184,#bbb2o,190
1185,#music,190
1186,preso,190
1187,i,190
1188,minas,190
1189,sabia,190
1190,epidemia,190
1191,compras,189
1192,#brazil,189
1193,vive,189
1194,fortes,189
1195,#quarentena!,189
1196,santo,188
1197,#fiqueemcasacaralho,188
1198,morrendo,188
1199,pros,188
1200,novamente,188
1201,resto,188
1202,reuniao,188
1203,episodio,188
1204,esteja,188
1205,chamada,187
1206,receita,187
1207,recomendacao,187
1208,blog,187
1209,40,187
1210,continue,187
1211,aumento,187
1212,municipal,186
1213,clique,186
1214,fisica,186
1215,canais,186
1216,valor,186
1217,vamo,185
1218,rock,185
1219,cu,185
1220,gracas,185
1221,tira,185
1222,#combateaocoronavirus,184
1223,sextou,184
1224,opcao,184
1225,achar,184
1226,tua,184
1227,passei,184
1228,#photography,184
1229,pt,183
1230,post,183
1231,sofrendo,183
1232,uniao,183
1233,alunos,183
1234,supermercado,183
1235,moro,183
1236,possamos,183
1237,maravilhosa,183
1238,dificeis,183
1239,policia,183
1240,acesso,182
1241,capital,182
1242,pensei,182
1243,ola,182
1244,minimo,182
1245,ficam,182
1246,#quartadetremurasdv,182
1247,presente,181
1248,cenario,181
1249,plano,181
1250,tivesse,181
1251,jose,181
1252,efeitos,181
1253,incrivel,181
1254,60,181
1255,#arte,181
1256,#economia,181
1257,foco,180
1258,graca,180
1259,colapso,180
1260,#treinoemcasa,180
1261,fato,180
1262,pos,180
1263,#tedio,180
1264,aproveita,180
1265,gostaria,179
1266,stories,179
1267,movimento,179
1268,chegando,179
1269,caralho,179
1270,cuidando,179
1271,#oembaixador,179
1272,loja,179
1273,opiniao,179
1274,paciencia,179
1275,solucao,179
1276,viva,178
1277,#foradaniel,178
1278,jovem,178
1279,kkkkkkk,178
1280,espaco,178
1281,politico,178
1282,cima,177
1283,texto,177
1284,orientacao,177
1285,on,177
1286,direto,177
1287,artigo,177
1288,aglomeracao,177
1289,morre,177
1290,irma,177
1291,completo,176
1292,voces!,176
1293,vitoria,176
1294,fundo,176
1295,inclusive,176
1296,vida!,176
1297,#livros,175
1298,monte,175
1299,oportunidade,175
1300,dessas,175
1301,maria,175
1302,caixa,175
1303,sr,175
1304,cidades,174
