,word,count
715,rindo,19
716,medico,19
717,proteja,19
718,nocao,19
719,aproveitem,19
720,existe,19
721,tomei,19
722,cuidem,19
723,saudade,19
724,pega,19
725,remoto,19
726,devem,18
727,usando,18
728,#homeoffice..,18
729,vale,18
730,almoco,18
731,devemos,18
732,msm,18
733,solidariedade,18
734,para..,18
735,pelos,18
736,quarentena..,18
737,continuar,18
738,canais,18
739,crianca,18
740,imagina,18
741,acontecendo,18
742,sabem,18
743,irmao,18
744,d,18
745,brincadeira,18
746,fotos,18
747,casa..,18
748,ok,18
749,??????????,18
750,pagar,18
751,emergencia,18
752,livre,18
753,avos,18
754,ficando,18
755,aproveita,18
756,pede,18
757,maratonar,18
758,escritorio,18
759,noticia,18
760,querendo,18
761,achar,18
762,cabeca,18
763,pa..,18
764,'',18
765,levar,18
766,direito,18
767,maioria,18
768,artistas,18
769,servicos,18
770,pensei,18
771,teste,18
772,solucao,18
773,varios,17
774,importancia,17
775,mandando,17
776,liberou,17
777,portugal,17
778,#bbb,17
779,????#quarentena,17
780,pedir,17
781,#bolsonaroacabou,17
782,#tiktok,17
783,sp,17
784,informacao,17
785,nome,17
786,desta,17
787,graca,17
788,quarentena!,17
789,autoridades,17
790,fecha,17
791,principalmente,17
792,ultimos,17
793,programacao,17
794,dia!,17
795,curtir,17
796,simples,17
797,acordei,17
798,11,17
799,junto,17
800,saio,17
801,si,17
802,!!!,17
803,infelizmente,17
804,suspensas,17
805,finalmente,17
806,cerveja,17
807,#saude,17
808,2:,17
809,mortes,17
810,conversar,17
811,aumentar,17
812,conter,17
813,melhores,17
814,confirmados,17
815,arrumar,17
816,gratis,16
817,humanidade,16
818,youtube,16
819,po..,16
820,conteudo,16
821,acaba,16
822,obrigado,16
823,lavem,16
824,ficou,16
825,suspeita,16
826,1:,16
827,comeco,16
828,confinamento,16
829,arrumei,16
830,#netflix,16
831,panico,16
832,ganhar,16
833,8,16
834,pena,16
835,#quarentinelife,16
836,seguimos,16
837,tivesse,16
838,#staysafe,16
839,medicos,16
840,coloca,16
841,ponto,16
842,levando,16
843,combate,16
844,#quarentenanaoeferias,16
845,app,16
846,f..,16
847,tiver,16
848,cancelar,16
849,kkkkkk,16
850,comi,16
851,positivo,16
852,higienico,16
853,paz,16
854,chefe,16
855,gravidade,16
856,protecao,16
857,utilidade,16
858,distancia,16
859,oi,16
860,leitura,16
861,lembrar,16
862,tenha,16
863,pedido,16
864,link,16
865,faculdade,16
866,fizeram,16
867,lindo,15
868,assunto,15
869,li,15
870,gosto,15
871,perto,15
872,leia,15
873,dele,15
874,obrigada,15
875,momentos,15
876,colaboradores,15
877,min,15
878,irma,15
879,quiser,15
880,atual,15
881,ne?,15
882,40,15
883,acham,15
884,falou,15
885,cuide,15
886,fronteiras,15
887,por..,15
888,questao,15
889,foco,15
890,exercicios,15
891,postando,15
892,desculpa,15
